"Force","Time","pH"
0.915530344941969,-3.18188312616088,7.5
0.916108173478543,-3.17988284040577,7.5
0.916682242589789,-3.17788255465066,7.5
0.917252574685484,-3.17588226889556,7.5
0.917819188378469,-3.17388198314045,7.5
0.918382119691207,-3.17188169738534,7.5
0.918941374551175,-3.16988141163023,7.5
0.919496998543915,-3.16788112587512,7.5
0.920048994852749,-3.16588084012002,7.5
0.920597405985236,-3.16388055436491,7.5
0.921142238182632,-3.1618802686098,7.5
0.92168352749742,-3.15987998285469,7.5
0.922221290980928,-3.15787969709959,7.5
0.922755550853821,-3.15587941134448,7.5
0.923286337195845,-3.15387912558937,7.5
0.923813656383437,-3.15187883983426,7.5
0.924337552226751,-3.14987855407915,7.5
0.924858027060542,-3.14787826832405,7.5
0.92537512198445,-3.14587798256894,7.5
0.925888841211288,-3.14387769681383,7.5
0.926399221224248,-3.14187741105872,7.5
0.92690627463336,-3.13987712530361,7.5
0.927410026258054,-3.13787683954851,7.5
0.927910500962311,-3.1358765537934,7.5
0.92840770857588,-3.13387626803829,7.5
0.928901687097601,-3.13187598228318,7.5
0.929392439373157,-3.12987569652808,7.5
0.929880005065653,-3.12787541077297,7.5
0.930364387298711,-3.12587512501786,7.5
0.930845621842789,-3.12387483926275,7.5
0.931323718111861,-3.12187455350764,7.5
0.93179870231528,-3.11987426775254,7.5
0.932270595737819,-3.11787398199743,7.5
0.932739410164952,-3.11587369624232,7.5
0.93320517929546,-3.11387341048721,7.5
0.933667905450691,-3.1118731247321,7.5
0.934127627006324,-3.109872838977,7.5
0.934584346709676,-3.10787255322189,7.5
0.935038097881447,-3.10587226746678,7.5
0.93548889107918,-3.10387198171167,7.5
0.935936748243107,-3.10187169595657,7.5
0.936381693397764,-3.09987141020146,7.5
0.936823728140905,-3.09787112444635,7.5
0.937262894890401,-3.09587083869124,7.5
0.937699187459304,-3.09387055293613,7.5
0.938132613858418,-3.09187026718103,7.5
0.938563238710069,-3.08986998142592,7.5
0.938991048889288,-3.08786969567081,7.5
0.939416088548451,-3.0858694099157,7.5
0.939838360769465,-3.08386912416059,7.5
0.940257868107717,-3.08186883840549,7.5
0.940674646776187,-3.07986855265038,7.5
0.941088723441774,-3.07786826689527,7.5
0.941500104191017,-3.07586798114016,7.5
0.941908804327772,-3.07386769538506,7.5
0.942314818191785,-3.07186740962995,7.5
0.942718200431972,-3.06986712387484,7.5
0.943118958883551,-3.06786683811973,7.5
0.943517076065033,-3.06586655236462,7.5
0.94391262328337,-3.06386626660952,7.5
0.944305614424885,-3.06186598085441,7.5
0.944696037283018,-3.0598656950993,7.5
0.945083903700122,-3.05786540934419,7.5
0.945469247955675,-3.05586512358908,7.5
